country_name,year,total_fertility_rate,growth_rate,midyear_population,midyear_population_male,midyear_population_female,max_age,kids,adults,youth,seniors,infant_mortality,infant_mortality_male,infant_mortality_female,life_expectancy,life_expectancy_male,life_expectancy_female,mortality_rate_under5
Bhutan,1969,6.6634,3.875,297570,310048,285092,96.0,121658,112627,55411,7874,158.64,166.34,150.56,45.31,44.77,45.89,263.21
Cambodia,1969,6.6125,2.552,7327872,7331694,7324050,99.5,3315904,2443480,1380878,187610,179.41,195.48,162.61,45.88,44.25,47.58,243.13
Brazil,1970,5.06,2.5340000000000003,94930053,94515292,95344814,100.0,40364754,33159690,18472973,2932636,97.87,102.91,92.59,57.6,55.31,60.0,128.01
Angola,1970,7.1985,2.986,5605626,5571860,5639392,100.0,2529599,1867535,1076759,131733,182.25,195.69,168.13,36.47,34.99,38.03,307.54
Djibouti,1970,6.4144,4.479,179903,179936,179870,93.5,76249,64375,33812,5467,133.39,143.01,123.48,48.03,46.69,49.41,193.28
Gabon,1970,4.1448,2.136,514579,504882,524276,98.5,173019,223018,88390,30152,153.94,166.95,140.53,44.33,42.79,45.92,230.53
Cambodia,1970,6.5,-0.733,7394265,7391312,7397218,99.5,3322706,2460670,1421039,189850,198.78,219.9,176.7,38.05,35.03,41.21,273.59
Ghana,1970,6.9267,3.052,8788945,8861500,8716390,100.0,4043123,2888364,1617313,240145,81.26,88.8,73.5,52.94,51.55,54.37,153.7
Western Sahara,1970,6.55,1.625,89131,93652,84610,94.5,36233,33004,16863,3031,146.32,146.48,146.16,36.96,34.94,39.06,267.35
Guinea,1970,5.994,1.933,3643361,3500426,3786296,99.0,1556051,1304738,679437,103135,169.54,181.09,157.64,37.65,36.29,39.05,293.87
Nigeria,1970,7.195,2.918,55590335,57227516,53953154,100.0,25397075,18324721,10485707,1382832,129.11,134.36,123.55,43.94,43.42,44.5,232.38
Uganda,1970,7.5482,2.7560000000000002,9715336,9817266,9613406,100.0,4584186,3052548,1698301,380301,118.32,126.67,109.72,46.63,46.05,47.22,202.42
Lebanon,1970,5.5395,2.718,2383029,2399540,2366518,100.0,1030167,815339,420890,116633,48.96,52.63,45.12,66.59,64.52,68.77,65.5
Bhutan,1970,6.6631,3.835,309265,322804,295726,94.5,126411,117795,56895,8164,157.49,165.06,149.54,45.5,44.96,46.07,260.93
Chad,1970,6.3901,2.089,3727238,3647500,3806976,99.5,1622234,1298059,698409,108536,168.83,183.77,153.3,36.21,32.22,40.35,286.62
Bhutan,1971,6.6628,3.792,321288,335884,306692,95.0,131387,123083,58356,8462,156.34,163.79,148.51,45.69,45.15,46.26,258.66
Brazil,1971,4.9333,2.502,97350239,96943740,97756738,100.0,41102526,34094316,19111998,3041399,95.78,101.32,89.95,58.14,55.65,60.75,124.35
Lebanon,1971,5.3935,2.657,2447943,2464880,2431006,100.0,1051415,831386,445262,119880,47.56,51.09,43.86,66.84,64.81,68.96,63.21
Western Sahara,1971,6.55,-2.0380000000000003,88949,92786,85112,93.5,36720,32702,16647,2880,141.55,141.73,141.37,37.48,35.45,39.58,260.58
Uganda,1971,7.5482,2.075,9952470,10037792,9867148,100.0,4740142,3104914,1736331,371083,128.17,136.86,119.22,39.52,37.49,41.61,216.26
Djibouti,1971,6.4117,4.497,188232,188236,188228,93.5,79893,67211,35395,5733,131.19,140.73,121.36,48.42,47.05,49.84,189.68
Nepal,1971,5.9945,1.89,12154668,12311478,11997858,100.0,4947157,4538438,2223702,445371,141.88,145.12,138.51,41.09,42.53,39.59,265.91
Gabon,1971,4.2458,2.227,525930,516204,535656,97.0,179476,225325,90618,30511,148.3,161.66,134.54,45.16,43.56,46.81,222.21
Cambodia,1971,6.5,0.556,7387709,7370818,7404600,100.0,3298723,2455450,1445284,188252,204.21,225.84,181.6,36.66,33.46,40.01,284.52
Nigeria,1971,7.195,2.929,57239131,58921740,55556522,100.0,26158628,18869792,10786371,1424340,128.23,133.55,122.6,44.03,43.49,44.6,231.63
Guinea,1971,5.9888,1.944,3714679,3570294,3859064,98.0,1589717,1326859,692349,105754,166.32,177.57,154.72,38.11,36.75,39.5,289.01
Angola,1971,7.1985,3.025,5777488,5743510,5811466,100.0,2613250,1921142,1107002,136094,178.09,190.45,165.12,37.1,35.74,38.53,300.39
Nicaragua,1971,7.211,3.1630000000000003,2120111,2112992,2127230,99.0,1024867,635264,409815,50165,112.66,123.64,101.13,51.55,49.74,53.46,163.97
Chad,1971,6.3901,2.097,3806002,3716136,3895868,99.5,1663240,1320311,711605,110846,170.35,185.45,154.66,36.24,32.5,40.13,288.96
Ghana,1971,6.895,3.137,9065245,9134724,8995766,100.0,4180122,2969409,1665190,250524,81.26,88.8,73.5,52.94,51.55,54.37,153.7
Haiti,1971,5.8935,1.976,4584844,4510910,4658778,100.0,1897912,1662827,879402,144703,145.41,157.06,133.63,45.71,44.24,47.2,217.67
Brazil,1972,4.8067,2.471,99800740,99393910,100207570,100.0,41809355,35080441,19755795,3155149,93.73,99.76,87.39,58.66,55.99,61.47,120.82
Gabon,1972,4.3467,2.311,538009,528260,547758,97.5,186180,227826,93110,30893,142.97,156.41,129.13,45.98,44.33,47.68,214.26
Western Sahara,1972,6.55,-2.023,87161,89746,84576,92.5,36825,31512,16095,2729,136.93,137.12,136.73,37.99,35.95,40.1,254.21
Bhutan,1972,6.6624,3.7489999999999997,333634,349282,317986,95.5,136591,128473,59795,8775,155.2,162.53,147.5,45.88,45.34,46.45,256.41
Paraguay,1972,5.825,2.971,2614104,2602372,2625836,100.0,1171860,816964,520826,104454,58.01,64.41,51.29,66.22,64.03,68.52,85.52
Angola,1972,7.1985,2.821,5949453,5916002,5982904,98.5,2695838,1974999,1138101,140515,174.3,185.68,162.35,37.69,36.44,39.0,294.19
Ghana,1972,6.8138,3.095,9352145,9419748,9284542,100.0,4321156,3054026,1715930,261033,81.26,88.8,73.5,52.94,51.55,54.37,153.7
Uganda,1972,7.5482,1.5919999999999999,10136422,10186252,10086592,100.0,4881497,3127821,1766962,360142,128.1,136.9,119.03,39.57,37.5,41.69,216.15
Nicaragua,1972,7.0924,2.6830000000000003,2182919,2175960,2189878,98.5,1054267,650463,426758,51431,113.78,124.63,102.39,44.78,43.32,46.3,178.09
Lebanon,1972,5.2476,2.605,2513207,2530628,2495786,100.0,1071418,848166,470484,123139,46.2,49.59,42.63,67.07,65.09,69.15,61.02
Cambodia,1972,6.5,1.178,7452154,7414932,7489376,100.0,3308370,2472919,1482589,188276,209.77,231.91,186.62,35.26,31.87,38.79,295.91
Chad,1972,6.39,2.1,3886643,3787448,3985838,98.5,1704128,1343357,726017,113141,171.88,187.14,156.01,36.27,32.77,39.92,291.33
Haiti,1972,5.8631,1.9980000000000002,4676857,4600946,4752768,100.0,1938185,1694340,896594,147738,143.61,155.05,132.03,45.9,44.4,47.4,215.99
Nigeria,1972,7.195,2.95,58946321,60676638,57216004,100.0,26942900,19435119,11101027,1467275,127.36,132.75,121.65,44.11,43.55,44.69,230.89
Nepal,1972,5.9515,1.921,12388524,12560602,12216446,100.0,5061872,4603022,2275250,448380,139.16,142.55,135.63,41.92,43.24,40.54,256.68
Djibouti,1972,6.412999999999999,4.518,196978,196954,197002,92.5,83712,70185,37076,6005,129.03,138.59,119.18,48.8,47.4,50.25,186.22
Guinea,1972,5.9836,1.954,3787796,3641850,3933742,98.5,1623954,1349924,705450,108468,163.16,174.11,151.87,38.56,37.21,39.95,284.22
Ghana,1973,6.7325,3.02,9642482,9707658,9577306,100.0,4461018,3140448,1769246,271770,81.26,88.8,73.5,52.94,51.55,54.37,153.7
Bhutan,1973,6.6621,3.705,346304,362998,329610,96.5,141991,133918,61292,9103,154.07,161.28,146.49,46.07,45.53,46.63,254.18
Burma,1973,5.4395,1.838,29226657,29127976,29325338,100.0,12214932,10589992,5330473,1091260,113.31,123.82,102.17,48.98,47.76,50.27,166.38
Paraguay,1973,5.642,2.937,2692466,2681588,2703344,100.0,1193579,843650,547603,107634,58.01,64.41,51.29,66.41,64.21,68.73,84.5
Brazil,1973,4.68,2.44,102281260,101866276,102696244,100.0,42481992,36119030,20406721,3273517,91.73,98.22,84.91,59.18,56.33,62.17,117.42
Nepal,1973,5.9085,1.96,12631326,12817378,12445274,100.0,5179587,4670661,2328982,452096,136.48,140.02,132.79,42.73,43.94,41.48,247.8
Western Sahara,1973,6.55,-1.989,85430,86782,84078,92.5,36774,30444,15630,2582,132.44,132.64,132.22,38.49,36.46,40.61,247.95
Haiti,1973,5.8328,1.996,4771193,4693114,4849272,100.0,1979124,1726923,914246,150900,141.81,153.07,130.43,46.08,44.57,47.61,214.31
Nicaragua,1973,6.9739,3.141,2247502,2240826,2254178,99.0,1084282,666492,443926,52802,106.71,117.67,95.2,52.67,50.75,54.68,154.42
Djibouti,1973,6.4134,4.54,206173,206116,206230,92.5,87709,73303,38865,6296,126.87,136.55,116.9,49.21,47.75,50.71,182.62
Nigeria,1973,7.195,2.9410000000000003,60707810,62486878,58928742,100.0,27750916,20013439,11431824,1511631,126.49,131.95,120.71,44.19,43.62,44.79,230.15
Chad,1973,6.437,2.137,3969803,3862042,4077564,99.0,1745927,1367216,741220,115440,173.42,188.84,157.38,36.29,33.02,39.7,293.73
Gabon,1973,4.4478,5.956,560658,548862,572454,98.5,198927,233031,97099,31601,137.8,151.38,123.82,46.78,45.07,48.54,206.65
Lebanon,1973,5.1017,2.56,2578960,2596924,2560996,100.0,1090298,866490,495876,126296,44.87,48.14,41.44,67.3,65.36,69.33,58.88
Angola,1973,7.1985,2.677,6115582,6083390,6147774,98.5,2774280,2027548,1168964,144790,170.52,180.93,159.58,38.28,37.15,39.47,288.03
Uganda,1973,7.5482,1.7469999999999999,10307149,10314490,10299808,100.0,5012432,3139414,1803852,351451,128.16,137.06,118.99,39.59,37.49,41.76,216.22
Guinea,1973,5.9784,1.966,3862799,3715180,4010418,97.5,1658803,1373908,718814,111274,160.04,170.71,149.05,39.02,37.68,40.41,279.47
Cambodia,1973,6.5,1.054,7535755,7472702,7598808,100.0,3323699,2501701,1521849,188506,215.45,238.11,191.76,33.84,30.29,37.56,307.81
Colombia,1973,4.65,2.332,23069231,22864612,23273850,100.0,10435161,7312012,4686299,635759,77.01,82.49,71.34,58.99,57.16,60.88,115.62
Western Sahara,1974,6.55,-1.943,83767,83906,83628,92.5,36565,29500,15253,2449,128.08,128.3,127.85,38.99,36.95,41.11,241.36
Brazil,1974,4.5533,2.408,104790608,104360016,105221200,100.0,43115345,37209842,21069125,3396296,89.77,96.7,82.49,59.68,56.66,62.85,114.14
